medlemmer,n,medlemmer_short_party,medlemmer_short
Udenrigsminister Knud Børge Andersen. (S),4,Børge Andersen. (S),Børge Andersen
Undervisningsleder Marinus Sørensen. (S),4,Marinus Sørensen. (S),Marinus Sørensen
Advokat Mogens Christian Fabricius Tange. (FP),3,Fabricius Tange. (FP),Fabricius Tange
Anna Dorith Skriver. (V),3,Dorith Skriver. (V),Dorith Skriver
Cand. oecon. Bent Knie-Andersen. (V),3,NA,NA
Civilingeniør Ib August Laurits Langsted. (CD),3,Laurits Langsted. (CD),Laurits Langsted
Civilingeniør Knud Enggaard. (V),3,Knud Enggaard. (V),Knud Enggaard
Civilingeniør Ole Kalnæs. (SF),3,Ole Kalnæs. (SF),Ole Kalnæs
"Civilingeniør, H.D., Henning Baunbæk Dyremose. (KF)",3,Baunbæk Dyremose. (KF),Baunbæk Dyremose
Detailhandler Kai Nyborg. (FP),3,Kai Nyborg. (FP),Kai Nyborg
Direktør Birgith Mogensen. (CD),3,Birgith Mogensen. (CD),Birgith Mogensen
Direktør Ole Weirup Bernt Henriksen. (KF),3,Bernt Henriksen. (KF),Bernt Henriksen
"Dyrlæge, dr. med. vetr. Kjeld Wamberg. (FP)",3,Kjeld Wamberg. (FP),Kjeld Wamberg
Ekspeditionssekretær Sigurd Ømann. (SF),3,Sigurd Ømann. (SF),Sigurd Ømann
"Ekspeditionssekretær, cand. jur. Birgitte Oxdam. (V)",3,Birgitte Oxdam. (V),Birgitte Oxdam
Ernæringskonsulent Kirsten Sparre Andersen. (V),3,Sparre Andersen. (V),Sparre Andersen
Fabrikant Carlo Wichmann Madsen. (V),3,Wichmann Madsen. (V),Wichmann Madsen
Fhv. minister Egon Carlo Larsen Jensen. (S),3,Larsen Jensen. (S),Larsen Jensen
Fhv. minister Knud Enggaard. (V),3,Knud Enggaard. (V),Knud Enggaard
Fhv. minister Ove Henry Hansen. (S),3,Henry Hansen. (S),Henry Hansen
Fhv. socialrådgiver Ritta Lourette Ahm. (KrF),3,Lourette Ahm. (KrF),Lourette Ahm
Fhv. statsminister Hilmar Thormod Ingolf Baunsgaard. (RV),3,Ingolf Baunsgaard. (RV),Ingolf Baunsgaard
Forstander Ingolf Knudsen. (CD),3,Ingolf Knudsen. (CD),Ingolf Knudsen
Forstander Jens Kristian Steffensen. (KrF),3,Kristian Steffensen. (KrF),Kristian Steffensen
Forstander Niels Andersen. (KF),3,Niels Andersen. (KF),Niels Andersen
Fuldmægtig Hans Hækkerup. (S),3,Hans Hækkerup. (S),Hans Hækkerup
Fuldmægtig Helmar Sørensen. (S),3,Helmar Sørensen. (S),Helmar Sørensen
"Fuldmægtig, cand. polit. Mogens Niels Juel Camre. (S)",3,Juel Camre. (S),Juel Camre
"Fuldmægtig, cand. scient. pol. Poul Nielson. (S)",3,Poul Nielson. (S),Poul Nielson
Gårdejer Hans Jørgen Holm. (V),3,Jørgen Holm. (V),Jørgen Holm
Gårdejer Ivar Christian Hansen. (V),3,Christian Hansen. (V),Christian Hansen
Gårdejer Knud Øllgaard. (V),3,Knud Øllgaard. (V),Knud Øllgaard
Gårdejer Peder Nicolai Sønderby. (V),3,Nicolai Sønderby. (V),Nicolai Sønderby
Gårdejer Povl Møllerhøj Brøndsted. (V),3,Møllerhøj Brøndsted. (V),Møllerhøj Brøndsted
Gårdejer Søren Jensen. (V),3,Søren Jensen. (V),Søren Jensen
Højskoleforstander Christian Kelm-Hansen. (S),3,NA,NA
Højskolelærer Peter Andersen Holst. (V),3,Andersen Holst. (V),Andersen Holst
Jens Maigaard. (SF),3,Jens Maigaard. (SF),Jens Maigaard
Journalist Janne Grete Normann. (RV),3,Grete Normann. (RV),Grete Normann
Justitsminister og forsvarsminister Orla Møller. (S),3,Orla Møller. (S),Orla Møller
Kai Nyborg. (FP),3,Kai Nyborg. (FP),Kai Nyborg
Konsulent i udenrigsministeriet René Robert Brusvang. (CD),3,Robert Brusvang. (CD),Robert Brusvang
Landbrugsminister og fiskeriminister Poul Christian Dalsager. (S),3,Christian Dalsager. (S),Christian Dalsager
"Landskonsulent, cand. agro. Anders Christian Poulsen. (V)",3,Christian Poulsen. (V),Christian Poulsen
Landsretssagfører Per Olaf Ludvig de Hemmer Gudme. (RV),3,Hemmer Gudme. (RV),Hemmer Gudme
Lektor Eva Rothenborg. (FP),3,Eva Rothenborg. (FP),Eva Rothenborg
"Lektor, cand. polit. Ole Flygaard. (DR)",3,Ole Flygaard. (DR),Ole Flygaard
Lærer Alfred Hansen. (DR),3,Alfred Hansen. (DR),Alfred Hansen
Lærer Jytte Agnete Røge. (FP),3,Agnete Røge. (FP),Agnete Røge
Major Jens Thorsen Jacobsen. (V),3,Thorsen Jacobsen. (V),Thorsen Jacobsen
Miljøkonsulent Magnus Leopold Demsitz. (S),3,Leopold Demsitz. (S),Leopold Demsitz
Minister for offentlige arbejder Jens Risgaard Knudsen. (S),3,Risgaard Knudsen. (S),Risgaard Knudsen
Murerarbejdsmand Alfred Andersen. (SF),3,Alfred Andersen. (SF),Alfred Andersen
Murersvend Poul Georg Mortensen. (S),3,Georg Mortensen. (S),Georg Mortensen
Murersvend Poul Mortensen. (S),3,Poul Mortensen. (S),Poul Mortensen
Oversætter Uwe Jensen. (FP),3,Uwe Jensen. (FP),Uwe Jensen
Politiassistent Knud Lind. (FP),3,Knud Lind. (FP),Knud Lind
Poul Dam. (SF),3,Poul Dam. (SF),Poul Dam
"Professor, dr. phil. Ellen Kristine Hansen Heltberg. (SF)",3,Hansen Heltberg. (SF),Hansen Heltberg
"Redaktør, cand. polit. Peter Brixtofte. (V)",3,Peter Brixtofte. (V),Peter Brixtofte
Rektor Clara Edele Bengta Kruchow. (RV),3,Bengta Kruchow. (RV),Bengta Kruchow
Rektor Erik Brünnich Smith. (S),3,NA,NA
Salgschef Keld Andersen. (KF),3,Keld Andersen. (KF),Keld Andersen
Sekretariatschef Povl Møllerhøj Brøndsted. (V),3,Møllerhøj Brøndsted. (V),Møllerhøj Brøndsted
Sekretær Enrico Møller Andersen. (S),3,Møller Andersen. (S),Møller Andersen
Skolekonsulent Gunner Baunsgaard. (RV),3,Gunner Baunsgaard. (RV),Gunner Baunsgaard
Smed Henning Krebs Philipsen. (SF),3,Krebs Philipsen. (SF),Krebs Philipsen
Socialrådgiver Hanne Beha Reintoft. (DKP),3,Beha Reintoft. (DKP),Beha Reintoft
Sognepræst John Haaber. (V),3,John Haaber. (V),John Haaber
Sognepræst Svend Erik Sørensen. (KrF),3,Erik Sørensen. (KrF),Erik Sørensen
Statsautoriseret ejendomsmægler Hans Bjergegaard. (FP),3,Hans Bjergegaard. (FP),Hans Bjergegaard
Tove Margith Meulengracht Frederiksen. (S),3,Meulengracht Frederiksen. (S),Meulengracht Frederiksen
Tove Neumann Jørgensen. (DKP),3,Neumann Jørgensen. (DKP),Neumann Jørgensen
Typograf Kurt Brauer. (SF),3,Kurt Brauer. (SF),Kurt Brauer
Tømrermester Hans Bach. (FP),3,Hans Bach. (FP),Hans Bach
Undervisningsminister Dorte Marianne Bennedsen. (S),3,Marianne Bennedsen. (S),Marianne Bennedsen
Universitetslektor Ejler Koch. (S),3,Ejler Koch. (S),Ejler Koch
"Vicedirektør, ingeniør Ole Røtzler Møller. (V)",3,Røtzler Møller. (V),Røtzler Møller
Viceskoleinspektør Helge Bundgaard Nielsen. (V),3,Bundgaard Nielsen. (V),Bundgaard Nielsen
Viceskoleinspektør Ole Vig Jensen. (RV),3,Vig Jensen. (RV),Vig Jensen
 Advokat Annelise Gotfredsen. (KF),2,Annelise Gotfredsen. (KF),Annelise Gotfredsen
 Advokat Poul Holmskov Schlüter. (KF),2,NA,NA
 Bibliotekskonsulent Ingerlise Koefoed. (SF),2,Ingerlise Koefoed. (SF),Ingerlise Koefoed
